KodPracownika;Data_DD.MM.YY.;Data_HH:MM:SS;GodzinaWejscia;GodzinaWyjscia
2358;23.02.2021 00:00:00;06:00:00;14:00:00;
2358;24.02.2021 00:00:00;06:00:00;14:00:00;
2358;25.02.2021 00:00:00;06:00:00;14:00:00;
2358;26.02.2021 00:00:00;06:00:00;14:00:00;
924;01.02.2021 00:00:00;06:00:00;14:00:00;
924;02.02.2021 00:00:00;06:00:00;14:00:00;
924;03.02.2021 00:00:00;06:00:00;14:00:00;
924;08.02.2021 00:00:00;14:00:00;22:00:00;
924;09.02.2021 00:00:00;14:00:00;22:00:00;
924;10.02.2021 00:00:00;14:00:00;22:00:00;
1352;01.02.2021 00:00:00;14:00:00;22:00:00;
1352;02.02.2021 00:00:00;14:00:00;22:00:00;
1352;03.02.2021 00:00:00;14:00:00;22:00:00;
1352;04.02.2021 00:00:00;14:00:00;22:00:00;
1352;05.02.2021 00:00:00;14:00:00;22:00:00;
1352;08.02.2021 00:00:00;06:00:00;14:00:00;
1352;09.02.2021 00:00:00;06:00:00;16:00:32;
1352;10.02.2021 00:00:00;06:00:00;14:00:00;
1352;11.02.2021 00:00:00;06:00:00;14:00:00;
1352;12.02.2021 00:00:00;06:00:00;14:00:00;
1352;13.02.2021 00:00:00;06:00:00;12:00:03;
1352;15.02.2021 00:00:00;22:00:00;06:00:00;
1352;16.02.2021 00:00:00;22:00:00;06:00:00;
1352;17.02.2021 00:00:00;22:00:00;06:00:00;
1352;18.02.2021 00:00:00;22:00:00;06:00:00;
1352;19.02.2021 00:00:00;22:00:00;06:00:00;
1352;22.02.2021 00:00:00;14:00:00;22:00:00;
1352;23.02.2021 00:00:00;14:00:00;22:00:00;
1352;25.02.2021 00:00:00;11:37:52;19:37:52;
1352;26.02.2021 00:00:00;14:00:00;22:00:00;
1386;01.02.2021 00:00:00;06:00:00;14:00:00;
1386;02.02.2021 00:00:00;06:00:00;14:00:00;
1386;03.02.2021 00:00:00;06:00:00;14:00:00;
1386;08.02.2021 00:00:00;22:00:00;06:00:00;
1386;09.02.2021 00:00:00;22:00:00;06:00:00;
1386;10.02.2021 00:00:00;22:00:00;06:00:00;
1386;11.02.2021 00:00:00;22:00:00;06:00:00;
1386;12.02.2021 00:00:00;22:00:00;06:00:00;
1386;15.02.2021 00:00:00;14:00:00;22:00:00;
1386;16.02.2021 00:00:00;14:00:00;22:00:00;
1386;17.02.2021 00:00:00;14:00:00;22:00:00;
1386;18.02.2021 00:00:00;14:00:00;22:00:00;
1386;19.02.2021 00:00:00;14:00:00;22:00:00;
1386;20.02.2021 00:00:00;14:00:00;22:00:00;
1386;22.02.2021 00:00:00;06:00:00;14:00:00;
1386;23.02.2021 00:00:00;06:00:00;14:00:00;
1386;24.02.2021 00:00:00;06:00:00;14:00:00;
